rcv		89.40		A		1		0 		1501
rcv		89.41		A		1		0 		1501
snd		99.59		D		1501		50		1
snd		99.61		D		1551		50		1
snd		99.62		D		1601		50		1
snd		99.63		D		1651		50		1
snd		99.64		D		1701		50		1
snd		99.65		D		1751		50		1
snd		99.65		D		1801		50		1
snd		99.66		D		1851		50		1
snd		99.67		D		1901		50		1
snd		99.68		D		1951		50		1
rcv		100.24		A		1		0 		1551
rcv		100.70		A		1		0 		1601
rcv		101.18		A		1		0 		1651
rcv		101.66		A		1		0 		1701
rcv		102.16		A		1		0 		1751
rcv		102.60		A		1		0 		1801
rcv		103.09		A		1		0 		1851
rcv		103.55		A		1		0 		1901
rcv		104.05		A		1		0 		1951
rcv		104.45		A		1		0 		2001
snd		104.53		D		2001		50		1
snd		104.55		D		2051		50		1
snd		104.56		D		2101		50		1
snd		104.57		D		2151		50		1
snd		104.58		D		2201		50		1
drop	104.58		D		2251		50		1
snd		104.59		D		2301		50		1
snd		104.67		D		2351		50		1
snd		104.69		D		2401		50		1
snd		104.70		D		2451		50		1
rcv		105.05		A		1		0 		2051
rcv		105.50		A		1		0 		2101
rcv		105.98		A		1		0 		2151
rcv		106.42		A		1		0 		2201
rcv		106.95		A		1		0 		2251
rcv		106.97		A		1		0 		2251
rcv		106.98		A		1		0 		2251
rcv		106.99		A		1		0 		2251
rcv		107.00		A		1		0 		2251
snd		117.11		D		2251		50		1
snd		117.13		D		2301		50		1
snd		117.15		D		2351		50		1
snd		117.16		D		2401		50		1
snd		117.17		D		2451		50		1
snd		117.18		D		2501		50		1
snd		117.18		D		2551		50		1
snd		117.19		D		2601		50		1
snd		117.20		D		2651		50		1
snd		117.21		D		2701		50		1
rcv		117.84		A		1		0 		2301
rcv		118.31		A		1		0 		2351
rcv		118.73		A		1		0 		2401
rcv		119.18		A		1		0 		2451
rcv		119.77		A		1		0 		2501
rcv		120.08		A		1		0 		2551
rcv		120.49		A		1		0 		2601
rcv		120.95		A		1		0 		2651
rcv		121.40		A		1		0 		2701
rcv		121.82		A		1		0 		2751
snd		121.86		D		2751		50		1
snd		121.88		D		2801		50		1
snd		121.89		D		2851		50		1
snd		121.89		D		2901		50		1
snd		121.90		D		2951		50		1
snd		121.91		D		3001		50		1
snd		121.92		D		3051		50		1
snd		121.93		D		3101		50		1
snd		121.94		D		3151		50		1
snd		121.95		D		3201		50		1
rcv		122.34		A		1		0 		2801
rcv		122.76		A		1		0 		2851
rcv		123.19		A		1		0 		2901
rcv		123.58		A		1		0 		2951
rcv		124.00		A		1		0 		3001
rcv		124.40		A		1		0 		3051
rcv		124.81		A		1		0 		3101
rcv		125.22		A		1		0 		3151
rcv		125.61		A		1		0 		3201
rcv		126.06		A		1		0 		3251
snd		126.10		D		3251		50		1
snd		126.11		D		3301		50		1
drop	126.12		D		3351		50		1
snd		126.13		D		3401		50		1
