rcv		48.60		D		1801		50		1
snd		49.04		A		1		0		1851
rcv		49.06		D		1851		50		1
snd		49.47		A		1		0		1901
rcv		49.48		D		1901		50		1
snd		49.93		A		1		0		1951
rcv		49.95		D		1951		50		1
snd		50.40		A		1		0		2001
rcv		50.49		D		2001		50		1
snd		50.99		A		1		0		2051
rcv		51.01		D		2051		50		1
snd		51.47		A		1		0		2101
rcv		51.49		D		2101		50		1
snd		51.96		A		1		0		2151
rcv		51.97		D		2151		50		1
snd		52.44		A		1		0		2201
rcv		52.46		D		2201		50		1
snd		52.89		A		1		0		2251
rcv		52.92		D		2301		50		1
snd		52.93		A		1		0		2251
rcv		52.94		D		2351		50		1
snd		52.94		A		1		0		2251
rcv		52.95		D		2401		50		1
snd		52.96		A		1		0		2251
rcv		52.97		D		2451		50		1
snd		52.97		A		1		0		2251
rcv		56.21		D		2251		50		1
snd		56.82		A		1		0		2301
rcv		56.84		D		2301		50		1
snd		57.30		A		1		0		2351
rcv		57.32		D		2351		50		1
snd		57.81		A		1		0		2401
rcv		57.82		D		2401		50		1
snd		58.26		A		1		0		2451
rcv		58.28		D		2451		50		1
snd		58.62		A		1		0		2501
rcv		58.65		D		2501		50		1
snd		59.11		A		1		0		2551
rcv		59.13		D		2551		50		1
snd		59.50		A		1		0		2601
rcv		59.51		D		2601		50		1
snd		59.91		A		1		0		2651
rcv		59.92		D		2651		50		1
snd		60.29		A		1		0		2701
rcv		60.30		D		2701		50		1
snd		60.80		A		1		0		2751
rcv		60.88		D		2751		50		1
snd		61.39		A		1		0		2801
rcv		61.41		D		2801		50		1
snd		61.91		A		1		0		2851
rcv		61.92		D		2851		50		1
snd		62.40		A		1		0		2901
rcv		62.42		D		2901		50		1
snd		62.93		A		1		0		2951
rcv		62.94		D		2951		50		1
snd		63.40		A		1		0		3001
rcv		63.41		D		3001		50		1
snd		63.82		A		1		0		3051
rcv		63.84		D		3051		50		1
snd		64.26		A		1		0		3101
rcv		64.27		D		3101		50		1
snd		64.70		A		1		0		3151
rcv		64.72		D		3151		50		1
snd		65.15		A		1		0		3201
rcv		65.16		D		3201		50		1
snd		65.55		A		1		0		3251
rcv		65.62		D		3251		50		1
snd		66.05		A		1		0		3301
rcv		66.06		D		3301		50		1
snd		66.51		A		1		0		3351
rcv		66.52		D		3401		50		1
snd		66.53		A		1		0		3351
rcv		66.54		D		3451		50		1
snd		66.54		A		1		0		3351
rcv		66.55		D		3501		50		1
snd		66.56		A		1		0		3351
rcv		66.57		D		3601		50		1
snd		66.57		A		1		0		3351
rcv		66.58		D		3651		50		1
snd		66.59		A		1		0		3351
rcv		66.60		D		3701		50		1
snd		66.60		A		1		0		3351
rcv		69.78		D		3351		50		1
snd		70.30		A		1		0		3401
rcv		70.31		D		3401		50		1
snd		70.73		A		1		0		3451
rcv		70.75		D		3451		50		1
snd		71.18		A		1		0		3501
rcv		71.19		D		3501		50		1
snd		71.66		A		1		0		3551
rcv		71.67		D		3551		50		1
snd		72.09		A		1		0		3601
rcv		72.11		D		3601		50		1
snd		72.53		A		1		0		3651
rcv		72.55		D		3651		50		1
snd		72.99		A		1		0		3701
rcv		73.00		D		3701		50		1
snd		73.45		A		1		0		3751
rcv		73.47		D		3751		50		1
snd		73.93		A		1		0		3801
rcv		73.95		D		3801		50		1
snd		74.32		A		1		0		3851
rcv		74.39		D		3851		50		1
snd		74.95		A		1		0		3901
rcv		74.96		D		3951		50		1
snd		74.98		A		1		0		3901
rcv		74.99		D		4001		50		1
snd		75.00		A		1		0		3901
rcv		75.01		D		4101		50		1
snd		75.01		A		1		0		3901
rcv		75.02		D		4151		50		1
snd		75.03		A		1		0		3901
rcv		75.03		D		4201		50		1
snd		75.04		A		1		0		3901
rcv		75.05		D		4251		50		1
snd		75.05		A		1		0		3901
rcv		78.19		D		3901		50		1
snd		78.66		A		1		0		3951
rcv		78.68		D		3951		50		1
snd		79.12		A		1		0		4001
rcv		79.14		D		4001		50		1
snd		79.57		A		1		0		4051
rcv		79.58		D		4051		50		1
snd		79.99		A		1		0		4101
rcv		80.00		D		4101		50		1
snd		80.82		A		1		0		4151
rcv		80.83		D		4151		50		1
snd		81.27		A		1		0		4201
rcv		81.28		D		4201		50		1
snd		81.72		A		1		0		4251
rcv		81.73		D		4251		50		1
snd		82.18		A		1		0		4301
rcv		82.19		D		4301		50		1
snd		82.68		A		1		0		4351
rcv		85.89		D		4401		50		1
snd		85.91		A		1		0		4351
rcv		85.92		D		4451		50		1
snd		85.92		A		1		0		4351
rcv		85.93		D		4501		50		1
snd		85.94		A		1		0		4351
rcv		85.97		D		4551		50		1
snd		85.98		A		1		0		4351
rcv		85.99		D		4601		50		1
snd		86.00		A		1		0		4351
rcv		86.01		D		4651		50		1
snd		86.01		A		1		0		4351
rcv		86.02		D		4701		50		1
snd		86.03		A		1		0		4351
rcv		86.04		D		4751		50		1
snd		86.04		A		1		0		4351
rcv		86.05		D		4801		50		1
snd		86.06		A		1		0		4351
rcv		89.46		D		4351		50		1
snd		90.03		A		1		0		4401
rcv		90.05		D		4451		50		1
snd		90.06		A		1		0		4401
rcv		90.07		D		4501		50		1
snd		90.07		A		1		0		4401
rcv		90.08		D		4551		50		1
snd		90.09		A		1		0		4401
rcv		90.09		D		4601		50		1
snd		90.10		A		1		0		4401
rcv		90.11		D		4651		50		1
snd		90.11		A		1		0		4401
rcv		90.12		D		4751		50		1
snd		90.13		A		1		0		4401
rcv		90.13		D		4801		50		1
snd		90.14		A		1		0		4401
rcv		93.37		D		4401		50		1
snd		94.22		A		1		0		4451
rcv		94.25		D		4451		50		1
snd		94.95		A		1		0		4501
rcv		95.00		D		4501		50		1
snd		95.63		A		1		0		4551
rcv		95.68		D		4551		50		1
snd		96.19		A		1		0		4601
rcv		96.26		D		4601		50		1
snd		96.76		A		1		0		4651
rcv		96.78		D		4701		50		1
snd		96.80		A		1		0		4651
rcv		96.82		D		4751		50		1
snd		96.84		A		1		0		4651
rcv		96.85		D		4801		50		1
snd		96.87		A		1		0		4651
rcv		96.88		D		4851		50		1
snd		96.90		A		1		0		4651
rcv		100.05		D		4651		50		1
snd		100.74		A		1		0		4701
rcv		100.80		D		4701		50		1
snd		101.41		A		1		0		4751
rcv		101.47		D		4751		50		1
snd		102.10		A		1		0		4801
rcv		102.14		D		4801		50		1
snd		102.64		A		1		0		4851
rcv		102.69		D		4851		50		1
snd		103.29		A		1		0		4901
rcv		103.33		D		4901		50		1
snd		103.96		A		1		0		4951
rcv		103.99		D		4951		50		1
snd		104.55		A		1		0		5001
rcv		104.60		D		5001		50		1
snd		105.10		A		1		0		5051
rcv		105.14		D		5051		50		1
snd		105.67		A		1		0		5101
rcv		105.69		D		5101		50		1
snd		106.14		A		1		0		5151
rcv		106.22		D		5151		50		1
snd		106.67		A		1		0		5201
rcv		106.71		D		5201		50		1
snd		107.25		A		1		0		5251
rcv		107.29		D		5251		50		1
snd		107.83		A		1		0		5301
rcv		107.87		D		5301		50		1
snd		108.38		A		1		0		5351
rcv		108.41		D		5351		50		1
snd		108.91		A		1		0		5401
rcv		108.95		D		5401		50		1
snd		109.49		A		1		0		5451
rcv		109.52		D		5451		50		1
snd		110.11		A		1		0		5501
rcv		110.14		D		5501		50		1
snd		110.61		A		1		0		5551
rcv		110.64		D		5551		50		1
snd		111.27		A		1		0		5601
rcv		111.30		D		5601		50		1
snd		111.88		A		1		0		5651
rcv		112.06		D		5701		50		1
snd		112.10		A		1		0		5651
rcv		112.12		D		5751		50		1
snd		112.14		A		1		0		5651
rcv		112.16		D		5801		50		1
snd		112.18		A		1		0		5651
rcv		112.20		D		5851		50		1
snd		112.21		A		1		0		5651
rcv		112.23		D		5901		50		1
snd		112.25		A		1		0		5651
